colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1734,"Mahipal Pur Village Extended, Abadi, New Delhi- 37",52-(ELD),regular,0,1665,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1735,Kewal Park Extn. Abadi Azad Pur Delhi 33,52-(LOP),regular,0,1666,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1736,"East Azad Nagar, Delhi-51",53-(ELD),regular,1,98,,https://dda.gov.in/sites/default/files/pmuday/98_53-(ELD).pdf,2020-03-12,"(1) REGD. NO.10-(LOP)_East Azad Nagar, Delhi 51",https://dda.gov.in/delineated-boundary
1737,"Sheetal Vihar, Chhawala Extn., New Delhi-71",54-(ELD),regular,0,1668,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1738,"Kadi Pur Extn., 'C' Block, Delhi-36",54-(LOP),regular,1,85,,https://dda.gov.in/sites/default/files/pmuday/85_612.pdf,2020-03-12,"(1) REGD. NO.54-(LOP)_Kadi Pur Extn., 'C' Block, Delhi-36",https://dda.gov.in/delineated-boundary
1739,Palam Village Extn. Area New Delhi-45,55-(ELD),regular,0,1670,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1740,Rajokari Village New Delhi-38,56-(ELD),regular,0,1671,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1741,"L.O.P. Janta Colony, Raghuveer Nagar, Delhi- 27",56-(LOP),regular,0,1672,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1742,"Nahar Pur Sector-7, Rohini, Delhi-85",57-(ELD),regular,1,1060,https://dda.gov.in/sites/default/files/pmuday/1060_57%20ELD.pdf,,2019-12-15,,https://dda.gov.in/delineated-boundary
1743,"North Chhajupur, Delhi",57-(LOP),regular,0,1720,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
